Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
DVR,"Cal Dive International, Inc.",1.65,158566650,n/a,2006,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/dvr
CPE,Callon Petroleum Company,4.99,196825560,n/a,1987,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cpe
CLMT,"Calumet Specialty Products Partners, L.P.",25.09,1443427700,n/a,1996,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/clmt
CAK,CAMAC Energy Inc.,0.56,87021200,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cak
CAM,Cameron International Corporation,51.82,12762851440,n/a,1993,Energy,Metal Fabrications,http://www.nasdaq.com/symbol/cam
CNQ,Canadian Natural Resources Limited,28.01,30711844600,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cnq
CPST,Capstone Turbine Corporation,1.06,293350760,n/a,1986,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cpst
CRZO,"Carrizo Oil & Gas, Inc.",25.46,1007757720,n/a,1997,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/crzo
CVE,Cenovus Energy Inc,31.41,23698813590,n/a,1985,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cve
CHK,Chesapeake Energy Corporation,18.46,12226870240,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/chk
CHKR,Chesapeake Granite Wash Trust,21.6,757360800,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/chkr
CVX,Chevron Corporation,109.26,2.1559E+11,n/a,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/cvx
CBAK,"China BAK Battery, Inc.",0.41,26164560,n/a,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cbak
MY,China Ming Yang Wind Power Group Limited,1.27,69148960,n/a,2010,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/my
SNP,China Petroleum & Chemical Corporation,89.31,872826630,n/a,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/snp
CYD,China Yuchai International Limited,12.77,475912360,n/a,1994,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cyd
XEC,Cimarex Energy Co,58.21,4989644780,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/xec
CKX,"CKX Lands, Inc.",15.862,30804004,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ckx
CWEI,"Clayton Williams Energy, Inc.",41.64,506508960,n/a,1993,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cwei
CLD,Cloud Peak Energy Inc,16.35,997971300,n/a,2009,Energy,Coal Mining,http://www.nasdaq.com/symbol/cld
CEO,CNOOC Limited,201.25,2685882500,n/a,2001,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ceo
CIE,"Cobalt International Energy, Inc.",24.41,9907237880,n/a,2009,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cie
CGV,Compagnie Generale de Geophysique-Veritas,29.59,127621670,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cgv
GSJK,"Compressco Partners, L.P.",14.4,133099200,n/a,n/a,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/gsjk
CRK,"Comstock Resources, Inc.",18.13,872324950,n/a,1995,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/crk
CXO,Concho Resources Inc.,86.4,8987500800,n/a,2007,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cxo
COP,ConocoPhillips,54.97,69512698290,n/a,1985,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/cop
CNX,CONSOL Energy Inc.,29.41,6692098450,n/a,1986,Energy,Coal Mining,http://www.nasdaq.com/symbol/cnx
CEP,"Constellation Energy Partners, LLC",1.29,30569130,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cep
MCF,Contango Oil & Gas Company,59.09,907445130,n/a,1990,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mcf
CLR,"Continental Resources, Inc.",67.04,12136117120,n/a,1998,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/clr
CLB,Core Laboratories N.V.,112.77,5334810390,n/a,1993,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/clb
CRED,Credo Petroleum Corporation,14.47,145293270,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cred
CXPO,Crimson Exploration Inc.,4.17,192057690,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cxpo
CRT,Cross Timbers Royalty Trust,38.66,231960000,n/a,1992,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/crt
XTXI,"Crosstex Energy, Inc.",13.74,650616480,n/a,2004,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/xtxi
XTEX,"Crosstex Energy, L.P.",16.98,1035610200,n/a,2002,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/xtex
QBC,Cubic Energy Inc,0.2699,20840598.4,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/qbc
CMI,Cummins Inc.,92.62,17801564000,n/a,1984,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cmi
CVI,CVR Energy Inc.,28.21,2493905050,n/a,2007,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/cvi
DWSN,Dawson Geophysical Company,23.57,186862960,n/a,1981,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/dwsn
DEJ,Dejour Energy Inc.,0.216,28249776,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/dej
DK,"Delek US Holdings, Inc.",19.42,1130302260,n/a,1996,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/dk
DNR,"Denbury Resources, Inc. (Holding Company)",15.8,6172048800,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/dnr
DVN,Devon Energy Corporation,58.88,23811072000,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/dvn
